tt9808642	2	nm0855300	director	\N	\N
tt9808642	3	nm0193045	writer	co-writer	\N
tt9808642	4	nm0316884	writer	co-writer	\N
tt9808642	5	nm0047960	producer	producer	\N
tt9808642	6	nm5450919	producer	producer	\N
tt9808642	7	nm2497334	producer	producer	\N
tt9808642	8	nm2717110	producer	producer	\N
tt9808686	10	nm9870259	cinematographer	\N	\N
tt9808686	1	nm1576905	actor	\N	\N
tt9808686	2	nm0613417	actor	\N	\N
tt9808686	3	nm1391032	actor	\N	\N
tt9808686	4	nm0422567	actor	\N	["Mishraji"]
tt9808686	5	nm10488676	writer	\N	\N
tt9808686	6	nm10488677	producer	producer	\N
tt9808686	7	nm11080567	producer	producer	\N
tt9808686	8	nm10034226	composer	\N	\N
tt9808686	9	nm9904889	composer	\N	\N
tt9808756	1	nm0609952	actress	\N	["Anbar"]
tt9808756	2	nm0905667	actor	\N	["Anwar Wagdi"]
tt9808764	1	nm0294274	director	\N	\N
tt9808764	2	nm2984405	producer	producer	\N
tt9808764	3	nm1110542	cinematographer	\N	\N
tt9808838	10	nm5145337	cinematographer	\N	\N
tt9808838	1	nm9587926	actor	\N	["Tay"]
tt9808838	2	nm4746089	actress	\N	["Jackalope 'Jackie' Campbell"]
tt9808838	3	nm9643785	actress	\N	["Young Rooney"]
tt9808838	4	nm0444795	actress	\N	["Twin Otter"]
tt9808838	5	nm4828142	director	\N	\N
tt9808838	6	nm7430253	producer	producer	\N
tt9808838	7	nm5820013	composer	\N	\N
tt9808838	8	nm3204491	cinematographer	\N	\N
tt9808838	9	nm5061857	cinematographer	\N	\N
tt9808842	1	nm10488762	actor	\N	["Cassie"]
tt9808842	2	nm7304713	actor	\N	["Aldrin"]
tt9808842	3	nm2694385	actor	\N	["Anthony"]
tt9808842	4	nm3613838	actor	\N	["David"]
tt9808842	5	nm8735596	producer	producer	\N
tt9808842	6	nm8735599	producer	producer	\N
tt9808842	7	nm8266404	composer	\N	\N
tt9808842	8	nm10488757	cinematographer	\N	\N
tt9808874	10	nm1431306	editor	\N	\N
tt9808874	1	nm8272878	actress	\N	["Urszula"]
tt9808874	2	nm0911333	actress	\N	["Anna"]
tt9808874	3	nm1040273	actress	\N	["Lena"]
tt9808874	4	nm1593487	actor	\N	["Stanislaw"]
tt9808874	5	nm0493764	director	\N	\N
tt9808874	6	nm4949211	writer	\N	\N
tt9808874	7	nm1580408	producer	producer	\N
tt9808874	8	nm0343322	composer	\N	\N
tt9808874	9	nm0865425	cinematographer	\N	\N
tt9808998	10	nm10842396	cinematographer	\N	\N
tt9808998	1	nm0919482	actor	\N	["Cesare Lombroso"]
tt9808998	2	nm4249847	actor	\N	["Edgar Ramus"]
tt9808998	3	nm5057757	actress	\N	["Kate Roberts"]
tt9808998	4	nm3803666	actor	\N	["Det. Daniels"]
tt9808998	5	nm3375413	director	\N	\N
tt9808998	6	nm0866850	writer	\N	\N
tt9808998	7	nm5218822	producer	producer	\N
tt9808998	8	nm3816365	composer	\N	\N
tt9808998	9	nm0383034	cinematographer	\N	\N
tt9809006	10	nm0784614	editor	\N	\N
tt9809006	1	nm4777243	actor	\N	["Wendell"]
tt9809006	2	nm0267659	actor	\N	["Genie Joe"]
tt9809006	3	nm6883803	actress	\N	["Emma"]
tt9809006	4	nm0267656	actor	\N	["Genie Moe"]
tt9809006	5	nm0400194	director	\N	\N
tt9809006	6	nm1799605	writer	\N	\N
tt9809006	7	nm0413427	producer	executive producer	\N
tt9809006	8	nm0414042	producer	executive producer	\N
tt9809006	9	nm0175423	cinematographer	\N	\N
tt9809052	1	nm10488823	actress	\N	\N
tt9809052	2	nm10488822	actress	\N	\N
tt9809052	3	nm10488824	actress	\N	\N
tt9809052	4	nm4930879	director	\N	\N
tt9809052	5	nm10488825	editor	\N	\N
tt9809078	1	nm2091238	director	\N	\N
tt9809078	2	nm0342382	producer	producer	\N
tt9809078	3	nm0034169	cinematographer	director of photography	\N
tt9809122	1	nm1230585	writer	writer	\N
tt9809122	2	nm1297936	producer	producer	\N
tt9809140	10	nm3348018	producer	producer	\N
tt9809140	1	nm7426973	actor	\N	["José Miguel Mota"]
tt9809140	2	nm0352646	actor	\N	["Imenecio"]
tt9809140	3	nm4712899	actress	\N	["Josefina Mota"]
tt9809140	4	nm9568975	actor	\N	["Tito"]
tt9809140	5	nm1990586	director	\N	\N
tt9809140	6	nm3720906	writer	Writer	\N
tt9809140	7	nm2157916	writer	\N	\N
tt9809140	8	nm4336150	producer	producer	\N
tt9809140	9	nm1823499	producer	producer	\N
tt9809154	10	nm10491507	self	\N	["Self"]
tt9809154	1	nm10491511	self	\N	["Self"]
tt9809154	2	nm10491506	self	\N	["Self"]
tt9809154	3	nm10491503	self	\N	["Self"]
tt9809154	4	nm10491504	self	\N	["Self"]
tt9809154	5	nm2852166	director	\N	\N
tt9809154	6	nm2851140	producer	producer	\N
tt9809154	7	nm6775198	editor	\N	\N
tt9809154	8	nm10488905	actor	\N	\N
tt9809154	9	nm10491508	self	\N	["Self"]
tt9809180	1	nm2616416	producer	producer	\N
tt9809180	2	nm1841910	producer	producer	\N
tt9809230	10	nm0329334	production_designer	\N	\N
